product_id,seller_id,category_id,product_name,brand,price,created_timestamp,updated_timestamp,is_active
1,1,15,Nike Officia Unde,Noise,81127.61,2024-03-04 06:32:20,2024-08-21 06:32:20,Y
2,29,6,OnePlus Repudiandae Quae,Sony,57575.7,2023-05-06 19:30:59,2023-05-24 19:30:59,Y
3,20,4,Dell Deleniti Praesentium,Noise,9776.46,2024-02-17 00:40:31,2024-06-12 00:40:31,Y
4,19,12,Sony Ab Quia,Samsung,88018.41,2025-01-20 05:56:05,2025-06-16 05:56:05,Y
5,37,14,LG Architecto Quod,Nike,67070.26,2024-05-02 18:44:27,2024-05-04 18:44:27,Y
6,15,10,Nike Non Reprehenderit,HP,19865.61,2026-03-24 06:40:15,2026-06-05 06:40:15,Y
7,9,11,Boat Perspiciatis Quaerat,LG,58240.39,2024-02-18 16:05:18,2024-08-09 16:05:18,Y
8,38,6,Puma Dolorum Voluptate,Mi,8292.98,2025-10-01 14:09:35,2025-10-09 14:09:35,Y
9,13,3,Nike Repellendus Doloribus,Realme,78905.16,2025-07-14 22:09:22,2025-08-27 22:09:22,Y
10,11,5,Noise Debitis Corporis,Nike,26702.7,2026-04-09 00:31:45,2026-06-17 00:31:45,Y
11,5,3,Nike Molestias Unde,Apple,77439.63,2022-12-24 19:40:33,2023-04-22 19:40:33,Y
12,24,2,Nike Sapiente Sequi,Dell,1448.9,2025-05-19 17:08:55,2025-10-08 17:08:55,Y
13,17,10,Dell Iste Quae,LG,84637.21,2025-11-13 23:18:15,2026-02-15 23:18:15,Y
14,2,10,Realme Molestiae Nihil,HP,82388.98,2023-12-28 11:01:29,2024-04-26 11:01:29,Y
15,30,15,Puma Sequi Voluptate,Sony,58500.7,2022-07-16 09:48:14,2022-12-25 09:48:14,Y
16,20,8,Boat Expedita Harum,Boat,21284.04,2022-05-21 21:18:11,2022-05-30 21:18:11,Y
17,24,11,Puma Nam Laboriosam,Puma,85147.47,2025-04-22 11:32:00,2025-08-16 11:32:00,Y
18,7,14,Noise Impedit Odio,OnePlus,36847.81,2023-04-26 02:03:44,2023-08-10 02:03:44,N
19,24,4,Noise Deleniti Deserunt,Noise,85558.85,2022-04-12 15:30:11,2022-10-05 15:30:11,Y
20,24,9,LG Neque Sed,HP,5636.4,2022-11-05 16:25:03,2023-04-29 16:25:03,Y
21,6,11,Apple Voluptates Quam,LG,57625.46,2023-01-15 12:53:19,2023-05-11 12:53:19,N
22,16,3,Nike In Voluptates,OnePlus,18626.46,2022-06-07 03:24:25,2022-08-31 03:24:25,Y
23,38,4,Apple Quo Ipsam,HP,69737.3,2026-09-18 20:43:40,2026-11-10 20:43:40,Y
24,10,3,Realme Quod Suscipit,Sony,71905.54,2022-01-09 19:26:02,2022-03-20 19:26:02,Y
25,1,6,Nike Esse Eligendi,Nike,21565.26,2022-03-22 02:18:27,2022-04-24 02:18:27,Y
26,4,3,Puma Eos Soluta,Dell,47441.48,2023-06-26 08:44:18,2023-09-01 08:44:18,Y
27,24,9,OnePlus Illum Vitae,Boat,40789.09,2026-01-19 15:28:22,2026-05-13 15:28:22,Y
28,34,5,Noise Laborum Veniam,LG,86768.55,2022-05-15 17:31:52,2022-11-17 17:31:52,Y
29,28,11,Boat Delectus Voluptatum,Noise,64172.64,2026-01-28 03:28:46,2026-05-10 03:28:46,Y
30,39,3,Boat Totam Dolorum,Mi,24895.44,2022-09-09 00:10:29,2022-11-30 00:10:29,Y
31,21,7,OnePlus Provident Quis,Realme,26680.82,2026-08-31 16:25:09,2027-03-01 16:25:09,Y
32,8,14,LG Voluptate Tempore,LG,79017.02,2025-08-29 13:59:12,2025-09-23 13:59:12,Y
33,29,15,Apple Iste Voluptatum,Dell,30635.06,2023-10-31 01:16:54,2024-02-18 01:16:54,Y
34,7,6,Dell Cum Libero,HP,59925.69,2025-07-16 10:26:11,2026-01-18 10:26:11,Y
35,31,2,Boat Ratione Perferendis,Boat,8571.06,2023-04-20 05:34:58,2023-10-12 05:34:58,Y
36,36,1,OnePlus Reprehenderit Rem,Realme,50638.17,2025-03-03 18:33:48,2025-04-05 18:33:48,Y
37,28,14,Puma Vel Voluptatum,Samsung,87161.2,2025-06-30 08:06:43,2025-09-28 08:06:43,Y
38,37,9,Apple Nesciunt Veniam,Mi,59173.92,2024-12-28 12:38:25,2025-01-23 12:38:25,Y
39,36,6,Boat Quibusdam Illo,Nike,25214.43,2022-12-03 05:20:51,2023-03-02 05:20:51,Y
40,40,10,LG Nisi Accusantium,LG,50194.23,2025-08-26 04:56:24,2026-01-16 04:56:24,Y
41,12,5,Puma Quasi Corrupti,Nike,27945.83,2024-04-10 22:20:52,2024-04-17 22:20:52,Y
42,10,10,LG Alias Modi,Dell,6447.77,2022-01-19 23:16:50,2022-03-06 23:16:50,Y
43,34,4,Dell Dignissimos Asperiores,Dell,40936.39,2022-04-06 05:57:32,2022-04-29 05:57:32,Y
44,21,13,OnePlus Velit Aspernatur,OnePlus,7828.14,2024-08-26 05:21:58,2025-02-26 05:21:58,Y
45,40,1,LG Eligendi Fugiat,Boat,24633.84,2023-05-05 01:19:57,2023-11-14 01:19:57,Y
